央视频道,#genre#
内蒙古卫视,http://192.168.1.100:2519/cbg.php?id=nmws
宁夏卫视,http://192.168.1.100:2519/cbg.php?id=nxws
吉林卫视,http://192.168.1.100:2519/cbg.php?id=jlws
云南卫视,http://192.168.1.100:2519/cbg.php?id=ynws
三沙卫视,http://192.168.1.100:2519/cbg.php?id=ssws
青海卫视,http://192.168.1.100:2519/cbg.php?id=qhws
新疆卫视,http://192.168.1.100:2519/cbg.php?id=xjws
新疆卫视,http://192.168.1.100:2519/ysp.php?id=xjws
西藏卫视,http://192.168.1.100:2519/cbg.php?id=xzws
兵团卫视,http://192.168.1.100:2519/cbg.php?id=btws
金鹰卡通,http://192.168.1.100:2519/cbg.php?id=jykt
上海,#genre#
都市剧场,http://192.168.1.100:2519/cbg.php?id=dsjc
欢笑剧场,http://192.168.1.100:2519/cbg.php?id=hxjc
生活时尚,http://192.168.1.100:2519/cbg.php?id=shss
动漫秀场,http://192.168.1.100:2519/cbg.php?id=dmxc
游戏风云,http://192.168.1.100:2519/cbg.php?id=yxfy
东方财经,http://192.168.1.100:2519/cbg.php?id=dfcj
魅力足球,http://192.168.1.100:2519/cbg.php?id=mlxq
法治天地,http://192.168.1.100:2519/cbg.php?id=fztd
金色学堂,http://192.168.1.100:2519/cbg.php?id=jsxt
北京,#genre#
北京纪实科教,http://192.168.1.100:2519/cbg.php?id=bjjskj
中华特产,http://192.168.1.100:2519/cbg.php?id=zhtc
生态环境,http://192.168.1.100:2519/cbg.php?id=sthj
四海钓鱼,http://192.168.1.100:2519/cbg.php?id=shdy
百姓健康,http://192.168.1.100:2519/cbg.php?id=bxjk
环球奇观,http://192.168.1.100:2519/cbg.php?id=hqqg
环球旅游,http://192.168.1.100:2519/cbg.php?id=hqly
优优宝贝,http://192.168.1.100:2519/cbg.php?id=yybb
卡酷少儿,http://192.168.1.100:2519/cbg.php?id=bjkk
